,name,state_name,early_career_pay,make_world_better_percent,stem_percent,year,total_price,net_cost,tuition_higher_than_national_average,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,Total Minority,total_enrollment
568,University of the Ozarks,Arkansas,42300.0,58.0,16.0,2017,37481.5,18044.852298,0,0,0,7400.0,24230.0,31630.0,24230.0,31630.0,146.0,587.0
569,Valdosta State University,Georgia,43400.0,57.0,7.0,2017,21643.0,16189.201060000001,0,1,0,8110.0,7476.0,15586.0,20958.0,29068.0,4860.0,11563.0
570,Valley City State University,North-Dakota,39900.0,56.0,3.0,2017,18390.0,11936.833242,0,1,0,6446.0,7626.0,14072.0,17166.0,23612.0,159.0,1378.0
571,Valparaiso University,Indiana,53300.0,52.0,31.0,2017,51730.0,21708.862904,0,0,0,11860.0,40260.0,52120.0,40260.0,52120.0,806.0,4507.0
572,Vanderbilt University,Tennessee,65400.0,48.0,23.0,2017,67392.0,14147.796206399998,0,0,0,16234.0,49816.0,66050.0,49816.0,66050.0,3211.0,12686.0
573,Vermont Technical College,Vermont,52400.0,41.0,4.0,2017,27630.0,20403.134338,0,1,0,10598.0,15108.0,25706.0,27780.0,38378.0,111.0,1542.0
574,Villanova University,Pennsylvania,65100.0,41.0,23.0,2017,68231.0,33942.36279,1,0,0,14020.0,53308.0,67328.0,53308.0,67328.0,2175.0,10735.0
575,Virginia Commonwealth University,Virginia,49900.0,52.0,18.0,2017,31172.0,21851.434298,0,1,0,10428.0,14490.0,24918.0,35138.0,45566.0,11832.0,30848.0
576,Virginia Military Institute,Virginia,65900.0,68.0,47.0,2017,30600.0,13748.814589799998,0,1,0,9428.0,18862.0,28290.0,45706.0,55134.0,290.0,1700.0
577,Virginia State University,Virginia,44900.0,61.0,14.0,2017,22581.0,17382.927464,0,1,0,11208.0,9056.0,20264.0,19576.0,30784.0,4421.0,5025.0
578,Viterbo University,Wisconsin,46800.0,62.0,3.0,2017,39410.0,18620.398794,0,0,0,9060.0,27970.0,37030.0,27970.0,37030.0,202.0,2804.0
579,Wabash College,Indiana,62200.0,40.0,34.0,2017,53237.5,20146.01317,0,0,0,10050.0,43450.0,53500.0,43450.0,53500.0,159.0,926.0
580,Wake Forest University,North-Carolina,60700.0,44.0,13.0,2017,69130.0,22993.1668244,0,0,0,16032.0,53322.0,69354.0,53322.0,69354.0,1638.0,7788.0
581,Walla Walla University,Washington,53700.0,54.0,22.0,2017,37560.0,21981.853826,0,0,0,4275.0,28035.0,32310.0,28035.0,32310.0,446.0,1887.0
582,Wartburg College,Iowa,49300.0,49.0,34.0,2017,51878.0,22197.257946,0,0,0,9996.0,41280.0,51276.0,41280.0,51276.0,180.0,1661.0
583,Washburn University,Kansas,47000.0,54.0,4.0,2017,21842.0,14075.124921999999,0,1,0,8237.0,8870.0,17107.0,19940.0,28177.0,1133.0,6722.0
584,Washington State University,Washington,55900.0,50.0,20.0,2017,27249.0,16690.9875216,0,1,0,11398.0,11581.0,22979.0,26365.0,37763.0,7602.0,28686.0
585,Wayne State College,Nebraska,40600.0,54.0,11.0,2017,18422.0,13760.80362,0,1,0,7668.0,6989.0,14657.0,12299.0,19967.0,425.0,3470.0
586,Wayne State University,Michigan,50800.0,53.0,21.0,2017,27390.0,14610.9901402,0,1,0,10427.0,13347.0,23774.0,28241.0,38668.0,8727.0,27578.0
587,Webb Institute,New-York,80800.0,53.8780487804878,100.0,2017,69075.0,12246.018039999999,0,0,0,15050.0,50175.0,65225.0,50175.0,65225.0,12.0,90.0
588,Weber State University,Utah,53900.0,60.0,8.0,2017,20364.0,13038.932751999999,0,1,0,6279.0,5831.0,12110.0,16585.0,22864.0,3685.0,25954.0
589,Webster University,Missouri,46500.0,50.0,2.0,2017,45445.0,23024.373334,0,0,0,11050.0,27900.0,38950.0,27900.0,38950.0,8219.0,16769.0
590,Wellesley College,Massachusetts,58900.0,48.0,34.0,2017,62016.0,20064.922669400003,0,0,0,16468.0,53732.0,70200.0,53732.0,70200.0,1010.0,2323.0
